الكود,العنوان,الوصف,النوع,المنطقة,الفئة,الحالة,السعر,المساحة,غرف_النوم,الحمامات,الدور,التشطيب,الفيو,المصدر,مميز,نوع_العرض,رابط_الفيديو,رابط_الخريطة,رابط_خارجي
S69,شقة 200م مدينة الشروق,موقع متميز في حي الجولف - بجوار المدارس - وبالقرب من مستشفى الجولف,شقة,مدينة الشروق,للبيع,active,3000000,200,3,1,0,نص تشطيب,,,لا,direct,,,
S68,شقة 210م مدينة الشروق,الشقة في أفضل مربع سكني وأمام المولات مباشرة - في أميز موقع متصل بطريق الحرية التجاري - وبالقرب من: المواصلات والمسجد والمدارس والخدمات,شقة,مدينة الشروق,للبيع,active,3300000,210,3,3,4,نص تشطيب,بحري,مباشر,لا,direct,https://www.tiktok.com/@alamoudi.realestate/video/7655806243910470932,,
S67,شقة 132م ألترا سوبر لوكس مدينة الشروق,البيع بدولاب المطبخ ودريسنج - مدخل خاص - عداد مياه وكهرباء وغاز - حصة بالكراج,شقة,مدينة الشروق,للبيع,active,4200000,132,2,2,0,ألترا سوبر لوكس,,مباشر,لا,direct,,,
S71,شقة 240م مميزة مدينة الشروق,شقة مميزة في موقع راقٍ بإطلالة مفتوحة وأجواء مريحة - خيار مثالي لمن يبحث عن جودة السكن في مدينة الشروق,شقة,مدينة الشروق,للبيع,active,5000000,240,3,3,1,نص تشطيب,حديقة,مباشر,نعم,direct,https://vt.tiktok.com/ZSCHF2ddv/,,
S70,شقة 165م فيو مفتوح مدينة الشروق,شقة مميزة في موقع راقٍ بإطلالة مفتوحة ترى من خلالها مدينتي وأبراج العاصمة الإدارية,شقة,مدينة الشروق,للبيع,active,3500000,165,3,3,1,نص تشطيب,فيو مفتوح,مباشر,نعم,direct,https://vt.tiktok.com/ZSCHCdNL6/,,
S72,شقة 188م سوبر لوكس مدينة الشروق,من أبرز المميزات انخفاض نسبة التحميل - مساحة فعلية أكبر تشعر وكأنها تتجاوز 220 متراً,شقة,مدينة الشروق,للبيع,active,5000000,188,3,3,1,سوبر لوكس,بحري,مباشر,لا,direct,https://t.me/alamoudirealestate/6,,
S73,عمارة 260م تحت الإنشاء مدينة الشروق,ترخيص: بدروم وأرضي و3 أدوار متكررة وروف - مساحة الشقة بالدور المتكرر 175م - موقع متميز أمام الخدمات مباشرة,عمارة,مدينة الشروق,للبيع,active,9000000,260,0,0,0,تحت الإنشاء,,مباشر,لا,direct,https://t.me/alamoudirealestate/10,,
S74,دوبلكس 312م مدينة الشروق,مساحة ضخمة بسعر متر مميز يقارب 10600 جنيه للمتر - فرصة ممتازة لمن يبحث عن مساحة كبيرة وقيمة حقيقية,دوبلكس,مدينة الشروق,للبيع,active,3300000,312,4,4,0,طوب أحمر,,مباشر,نعم,direct,https://vt.tiktok.com/ZSCWfTqbd/,,
S75,شقة 195م مدينة الشروق,أفضل مربع سكني - أمام الخدمات مباشرة - بالقرب جداً من طريق الحرية التجاري,شقة,مدينة الشروق,للبيع,active,2900000,195,3,2,4,نص تشطيب,قبلي,احمد الرمحي/سمسار,لا,broker,https://vt.tiktok.com/ZSCKdU1Uk/,,
S76,شقة 185م بتسهيلات مدينة الشروق,توجد تسهيلات - مدة القسط سنة - السعر: 2800000 كاش أو 3000000 قسط,شقة,مدينة الشروق,للبيع,active,2800000,185,3,2,3,نص تشطيب,,احمد الرمحي,لا,direct,,,
R40,شقة 185م للإيجار مدينة الشروق,موقع مميز قريب من جميع الخدمات والمواصلات,شقة,مدينة الشروق,للإيجار,active,9000,185,3,2,3,سوبر لوكس,فيو جنينة,عبدالله حجاج,لا,broker,https://vt.tiktok.com/ZSXdSGA1x/,,
S77,شقة 170م وصال سوبر لوكس,موقع مميز على wide garden وغير مجروح - وفر أكثر من 2.5 مليون جنيه مقارنة بسعر الشركة الحالي,شقة,كمباوند وصال,للبيع,active,2900000,170,3,3,3,سوبر لوكس,فيو جنينة - بحري,,نعم,direct,https://vt.tiktok.com/ZSXy4xDGA/,,
S79,شقة 255م أرضي مدينة الشروق,أرضي مرتفع على شقتين فقط - مدخل خاص من الجنينة الأمامية ومدخل خاص للجنينة الخلفية,شقة,مدينة الشروق,للبيع,active,4500000,255,3,3,0,تشطيب 50%,,مباشر,لا,direct,https://vt.tiktok.com/ZSXaJG9vU/,,
