الكود,العنوان,الوصف,النوع,المنطقة,الفئة,الحالة,السعر,المساحة,غرف_النوم,الحمامات,الدور,التشطيب,الفيو,المصدر,مميز,نوع_العرض,رابط_الفيديو,رابط_الخريطة,رابط_خارجي
S69,S69,"موقع متميز في حي الجولف - بجوار المدارس - وبالقرب من مسشفى الجولف",شقة,مدينة الشروق,للبيع,active,3000000,200,3,1,0,نص تشطيب,,,لا,direct,,,
S68,S68,"الشقة في أفضل مربع سكني وأمام المولات مباشرة
في أميز موقع متصل بطريق الحرية التجاري

وبالقرب من: المواصلات - المسجد - المدارس - الخدمات",شقة,مدينة الشروق,للبيع,active,3300000,210,3,3,4,نص تشطيب,بحري,مباشر,لا,direct,https://www.tiktok.com/@alamoudi.realestate/video/7655806243910470932,,
S67,S67,"البيع بدولاب المطبخ + دريسنج
مدخل خاص
عداد مياه
عداد كهرباء
عداد غاز
حصه بالكراج",شقة,مدينة الشروق,للبيع,active,4200000,132,2,2,0,ألترا سوبر لوكس,,مباشر,لا,direct,,,
S71,S71,"شقة مميزة في موقع راقٍ، بإطلالة مفتوحة وأجواء مريحة، لتكون خياراً مثالياً لمن يبحث عن جودة السكن في مدينة الشروق.",شقة,مدينة الشروق,للبيع,active,5000000,240,3,3,1,نص تشطيب,حديقة,مباشر,نعم,direct,https://vt.tiktok.com/ZSCHF2ddv/,,
S70,S70,"شقة مميزة في موقع راقٍ، بإطلالة مفتوحة ترى من خلالها مدينتي وأبراج العاصمة الإدارية، لتكون خياراً مثالياً لمن يبحث عن جودة السكن في مدينة الشروق.",شقة,مدينة الشروق,للبيع,active,3500000,165,3,3,1,نص تشطيب,فيو مفتوح,مباشر,نعم,direct,https://vt.tiktok.com/ZSCHCdNL6/,,
S72,S72,"من أبرز مميزات هذه الشقة انخفاض نسبة التحميل، حيث تمنحك مساحة فعلية أكبر، لتشعر وكأنها تتجاوز 220 متراً رغم أن مساحتها الرسمية 188 متراً.

الفيديو كامل على التليجرام",شقة,مدينة الشروق,للبيع,active,5000000,188,3,3,1,سوبر لوكس,بحري,مباشر,لا,direct,https://t.me/alamoudirealestate/6,,
S73,S73,"ترخيص: بدروم + أرضي + 3 أدوار متكررة + روف.
مساحة الشقة بالدور المتكرر: 175 متر مربع.
تم تنفيذ البدروم والدور الأرضي والدور الأول.
تم الانتهاء من إنشاء السور الخارجي وتركيب البوابة الحديدية، بالإضافة إلى تأسيس أعمال الكهرباء.

موقع متميز داخل مدينة الشروق، أمام الخدمات مباشرة

مع إمكانية الاستفادة من المبنى سواء للسكن أو الاستثمار.",عمارة,مدينة الشروق,للبيع,active,9000000,260,0,0,0,تحت الإنشاء,,مباشر,لا,direct,https://t.me/alamoudirealestate/10,,
S74,S74,"دوبلكس بمساحة 312 م بسعر متر مميز يقارب 10600 جنيه للمتر، فرصة ممتازة لمن يبحث عن مساحة كبيرة وقيمة حقيقية مقابل السعر. موقع مناسب وسعر يصعب تكراره",دوبلكس,مدينة الشروق,للبيع,active,3300000,312,4,4,0,طوب أحمر,,مباشر,نعم,direct,https://vt.tiktok.com/ZSCWfTqbd/,,
S75,S75,"أفضل مربع سكني، أمام الخدمات مباشرة، وبالقرب جداً من طريق الحرية التجاري",شقة,مدينة الشروق,للبيع,active,2900000,195,3,2,4,نص تشطيب,قبلي,احمد الرمحي/سمسار,لا,broker,https://vt.tiktok.com/ZSCKdU1Uk/,,
S76,S76,"توجد تسهيلات
مدة القسط: سنة

السعر:
2800000 كاش
3000000 قسط",شقة,مدينة الشروق,للبيع,active,2800000,185,3,2,3,نص تشطيب,,احمد الرمحي,لا,direct,,,
R40,R40,"موقع مميز قريب من جميع الخدمات والمواصلات.",شقة,مدينة الشروق,للبيع,active,9000,185,3,2,3,سوبر لوكس,فيو جنينة,عبدالله حجاج,لا,broker,https://vt.tiktok.com/ZSXdSGA1x/,,
S77,S77,"موقع مميز على wide garden وغير مجروح

وفر أكثر من 2.5 مليون جنيه مقارنة بسعر الشركة الحالي",شقة,كمباوند وصال,للبيع,active,2900000,170,3,3,3,سوبر لوكس,فيو جنينة - بحري,,نعم,direct,https://vt.tiktok.com/ZSXy4xDGA/,,
S79,S79,"أرضي مرتفع ..
والدور الأرضي على شقتين فقط

وتتميز الشقة بمدخل خاص من الجنينة الأمامية ومدخل خاص للجنينة الخلفية",شقة,مدينة الشروق,للبيع,active,4500000,255,3,3,0,تشطيب 50%,,direct,لا,direct,https://vt.tiktok.com/ZSXaJG9vU/,,
